variable,group,value
"Allan, Lucy",BEIS,1
"Allan, Lucy",DCLG,2
"Allan, Lucy",Department for Transport,2
"Allan, Lucy",Department of Health,1
"Allan, Lucy",DfE,14
"Allan, Lucy",DfID,2
"Allan, Lucy",DHSC,3
"Allan, Lucy",DWP,3
"Allan, Lucy",Home Office,4
"Allan, Lucy",MHCLG,3
"Allan, Lucy",Ministry of Defence,2
"Allan, Lucy",Ministry of Justice,4
"Allan, Lucy",Prime Minister,12
"Allan, Lucy",Wales Office,2
"Allen, Heidi",Cabinet Office,1
"Allen, Heidi",DfE,2
"Allen, Heidi",DHSC,2
"Allen, Heidi",DWP,6
"Allen, Heidi",Prime Minister,8
"Allen, Heidi",Wales Office,1
"Allin-Khan, Rosena",DDCMS,9
"Allin-Khan, Rosena",Department for Transport,2
"Allin-Khan, Rosena",Department of Health,3
"Allin-Khan, Rosena",DeXEU,2
"Allin-Khan, Rosena",DfE,1
"Allin-Khan, Rosena",DfID,3
"Allin-Khan, Rosena",DHSC,4
"Allin-Khan, Rosena",DWP,2
"Allin-Khan, Rosena",FCO,2
"Allin-Khan, Rosena",Home Office,1
"Allin-Khan, Rosena",Northern Ireland Office,1
"Allin-Khan, Rosena",Prime Minister,4
"Amesbury, Mike",Attorney General,2
"Amesbury, Mike",BEIS,5
"Amesbury, Mike",Cabinet Office,4
"Amesbury, Mike",DDCMS,4
"Amesbury, Mike",Department for Transport,5
"Amesbury, Mike",Department of Health,3
"Amesbury, Mike",DeXEU,6
"Amesbury, Mike",DfE,9
"Amesbury, Mike",DHSC,4
"Amesbury, Mike",DWP,9
"Amesbury, Mike",FCO,4
"Amesbury, Mike",Home Office,7
"Amesbury, Mike",MHCLG,2
"Amesbury, Mike",Minister for Women and Equalities,4
"Amesbury, Mike",Ministry of Defence,12
"Amesbury, Mike",Ministry of Justice,3
"Amesbury, Mike",Northern Ireland Office,4
"Amesbury, Mike",Prime Minister,12
"Amesbury, Mike",Scotland Office,4
"Amesbury, Mike",Treasury,8
"Amesbury, Mike",Wales Office,3
"Amess, David",BEIS,2
"Amess, David",Cabinet Office,2
"Amess, David",Church Commissioners,2
"Amess, David",DDCMS,4
"Amess, David",DEFRA,2
"Amess, David",DeXEU,4
"Amess, David",DfID,4
"Amess, David",DHSC,2
"Amess, David",DIT,1
"Amess, David",Home Office,6
"Amess, David",MHCLG,4
"Amess, David",Minister for Women and Equalities,2
"Amess, David",Ministry of Defence,7
"Amess, David",Prime Minister,13
"Amess, David",Treasury,4
"Amess, David",Wales Office,2
"Antoniazzi, Tonia",DCLG,2
"Antoniazzi, Tonia",DEFRA,2
"Antoniazzi, Tonia",Department for Transport,4
"Antoniazzi, Tonia",DfID,2
"Antoniazzi, Tonia",DHSC,1
"Antoniazzi, Tonia",DWP,3
"Antoniazzi, Tonia",FCO,4
"Antoniazzi, Tonia",Home Office,3
"Antoniazzi, Tonia",Minister for Women and Equalities,2
"Antoniazzi, Tonia",Ministry of Justice,4
"Antoniazzi, Tonia",Prime Minister,12
"Antoniazzi, Tonia",Scotland Office,4
"Antoniazzi, Tonia",Treasury,3
"Argar, Edward",BEIS,3
"Argar, Edward",Church Commissioners,1
"Argar, Edward",DEFRA,2
"Argar, Edward",Department of Health,2
"Argar, Edward",DeXEU,4
"Argar, Edward",DfID,2
"Argar, Edward",DHSC,4
"Argar, Edward",DIT,2
"Argar, Edward",MHCLG,2
"Argar, Edward",Minister for Women and Equalities,6
"Argar, Edward",Ministry of Defence,1
"Argar, Edward",Ministry of Justice,2
"Argar, Edward",Northern Ireland Office,2
"Argar, Edward",Prime Minister,4
"Ashworth, Jonathan",Department of Health,6
"Ashworth, Jonathan",DHSC,28
"Atkins, Victoria",BEIS,2
"Atkins, Victoria",DCLG,1
"Atkins, Victoria",Home Office,2
"Atkins, Victoria",Prime Minister,1
"Austin, Ian",Church Commissioners,2
"Austin, Ian",DEFRA,1
"Austin, Ian",Department of Health,2
"Austin, Ian",DfE,2
"Austin, Ian",DHSC,4
"Austin, Ian",DWP,2
"Austin, Ian",FCO,5
"Austin, Ian",Home Office,1
"Austin, Ian",MHCLG,7
"Austin, Ian",Ministry of Justice,2
"Austin, Ian",Prime Minister,7
"Austin, Ian",Treasury,5
"Bacon, Richard",BEIS,3
"Bacon, Richard",DDCMS,2
"Bacon, Richard",DEFRA,1
"Bacon, Richard",DfE,1
"Bacon, Richard",DfID,1
"Bacon, Richard",DHSC,1
"Bacon, Richard",DIT,1
"Bacon, Richard",FCO,1
"Bacon, Richard",MHCLG,7
"Bacon, Richard",Ministry of Justice,3
"Bacon, Richard",Prime Minister,4
"Bacon, Richard",Treasury,5
"Badenoch, Kemi",Attorney General,3
"Badenoch, Kemi",BEIS,3
"Badenoch, Kemi",DDCMS,1
"Badenoch, Kemi",DEFRA,2
"Badenoch, Kemi",DeXEU,2
"Badenoch, Kemi",DfE,4
"Badenoch, Kemi",DIT,2
"Badenoch, Kemi",DWP,3
"Badenoch, Kemi",MHCLG,4
"Badenoch, Kemi",Minister for Women and Equalities,2
"Badenoch, Kemi",Ministry of Justice,4
"Badenoch, Kemi",Prime Minister,4
"Badenoch, Kemi",Treasury,4
"Bailey, Adrian",BEIS,10
"Bailey, Adrian",Department for Transport,2
"Bailey, Adrian",DeXEU,9
"Bailey, Adrian",DfE,1
"Bailey, Adrian",DfID,3
"Bailey, Adrian",DHSC,5
"Bailey, Adrian",DIT,1
"Bailey, Adrian",FCO,5
"Bailey, Adrian",Home Office,1
"Bailey, Adrian",MHCLG,4
"Bailey, Adrian",Ministry of Defence,6
"Bailey, Adrian",Ministry of Justice,2
"Bailey, Adrian",Prime Minister,2
"Bailey, Adrian",Treasury,9
"Bailey, Adrian",Wales Office,2
"Baker, Steve",DeXEU,4
"Baker, Steve",DHSC,1
"Baker, Steve",DIT,2
"Baker, Steve",FCO,4
"Baker, Steve",Prime Minister,4
"Baker, Steve",Scotland Office,1
"Baldwin, Harriett",DWP,1
"Bardell, Hannah",Attorney General,7
"Bardell, Hannah",BEIS,3
"Bardell, Hannah",DDCMS,10
"Bardell, Hannah",DEFRA,6
"Bardell, Hannah",Department for Transport,4
"Bardell, Hannah",Department of Health,2
"Bardell, Hannah",DeXEU,6
"Bardell, Hannah",DHSC,3
"Bardell, Hannah",DIT,5
"Bardell, Hannah",DWP,3
"Bardell, Hannah",FCO,12
"Bardell, Hannah",Home Office,2
"Bardell, Hannah",House of Commons Commission,2
"Bardell, Hannah",MHCLG,1
"Bardell, Hannah",Minister for Women and Equalities,2
"Bardell, Hannah",Ministry of Justice,2
"Bardell, Hannah",Northern Ireland Office,2
"Bardell, Hannah",Prime Minister,6
"Bardell, Hannah",Scotland Office,6
"Bardell, Hannah",Treasury,3
"Baron, John",DHSC,2
"Baron, John",FCO,8
"Baron, John",Ministry of Defence,9
"Baron, John",Northern Ireland Office,3
"Baron, John",Prime Minister,12
"Baron, John",Treasury,2
"Barron, Kevin",DHSC,1
"Barron, Kevin",MHCLG,1
"Barron, Kevin",Prime Minister,2
"Bebb, Guto",FCO,2
"Beckett, Margaret",Department for Transport,1
"Bellingham, Henry",Attorney General,6
"Bellingham, Henry",BEIS,6
"Bellingham, Henry",Cabinet Office,6
"Bellingham, Henry",DDCMS,5
"Bellingham, Henry",DEFRA,1
"Bellingham, Henry",Department for Transport,6
"Bellingham, Henry",DeXEU,4
"Bellingham, Henry",DfID,5
"Bellingham, Henry",DHSC,4
"Bellingham, Henry",DIT,2
"Bellingham, Henry",FCO,6
"Bellingham, Henry",Home Office,2
"Bellingham, Henry",Ministry of Defence,4
"Bellingham, Henry",Ministry of Justice,6
"Bellingham, Henry",Northern Ireland Office,4
"Bellingham, Henry",Prime Minister,7
"Bellingham, Henry",Scotland Office,2
"Bellingham, Henry",Treasury,2
"Bellingham, Henry",Wales Office,4
"Benn, Hilary",Attorney General,1
"Benn, Hilary",DeXEU,15
"Benn, Hilary",DHSC,1
"Benn, Hilary",FCO,2
"Benn, Hilary",Home Office,3
"Benn, Hilary",MHCLG,1
"Benn, Hilary",Prime Minister,1
"Benn, Hilary",Treasury,1
"Benn, Hilary",Wales Office,1
"Benyon, Richard",Cabinet Office,2
"Benyon, Richard",DDCMS,1
"Benyon, Richard",DEFRA,5
"Benyon, Richard",DHSC,2
"Benyon, Richard",FCO,2
"Benyon, Richard",Home Office,2
"Benyon, Richard",MHCLG,1
"Benyon, Richard",Ministry of Defence,4
"Benyon, Richard",Ministry of Justice,1
"Benyon, Richard",Prime Minister,2
"Beresford, Paul",Department of Health,1
"Beresford, Paul",DHSC,2
"Beresford, Paul",Prime Minister,2
"Berger, Luciana",BEIS,1
"Berger, Luciana",Department for Transport,2
"Berger, Luciana",Department of Health,2
"Berger, Luciana",DeXEU,1
"Berger, Luciana",DfE,4
"Berger, Luciana",DHSC,7
"Berger, Luciana",DWP,3
"Berger, Luciana",FCO,2
"Berger, Luciana",Home Office,3
"Berger, Luciana",MHCLG,2
"Berger, Luciana",Ministry of Justice,3
"Berger, Luciana",Prime Minister,5
"Betts, Clive",BEIS,2
"Betts, Clive",DCLG,1
"Betts, Clive",DDCMS,1
"Betts, Clive",DEFRA,4
"Betts, Clive",Department for Transport,15
"Betts, Clive",DHSC,2
"Betts, Clive",DWP,2
"Betts, Clive",MHCLG,14
"Betts, Clive",Prime Minister,6
"Black, Mhairi",Prime Minister,8
"Black, Mhairi",Scotland Office,12
"Blackford, Ian",Prime Minister,158
"Blackman, Bob",Attorney General,8
"Blackman, Bob",BEIS,5
"Blackman, Bob",Cabinet Office,7
"Blackman, Bob",Church Commissioners,5
"Blackman, Bob",DCLG,1
"Blackman, Bob",DDCMS,7
"Blackman, Bob",Department for Transport,9
"Blackman, Bob",Department of Health,3
"Blackman, Bob",DeXEU,16
"Blackman, Bob",DfE,1
"Blackman, Bob",DfID,8
"Blackman, Bob",DHSC,5
"Blackman, Bob",DIT,8
"Blackman, Bob",DWP,4
"Blackman, Bob",FCO,20
"Blackman, Bob",Home Office,5
"Blackman, Bob",MHCLG,15
"Blackman, Bob",Minister for Women and Equalities,16
"Blackman, Bob",Ministry of Defence,5
"Blackman, Bob",Ministry of Justice,5
"Blackman, Bob",Northern Ireland Office,15
"Blackman, Bob",Prime Minister,17
"Blackman, Bob",Scotland Office,2
"Blackman, Bob",Wales Office,10
"Blackman, Kirsty",BEIS,5
"Blackman, Kirsty",DEFRA,1
"Blackman, Kirsty",Department for Transport,1
"Blackman, Kirsty",DeXEU,1
"Blackman, Kirsty",DIT,2
"Blackman, Kirsty",Minister for Women and Equalities,1
"Blackman, Kirsty",Ministry of Defence,1
"Blackman, Kirsty",Prime Minister,18
"Blackman, Kirsty",Scotland Office,7
"Blackman, Kirsty",Treasury,34
"Blackman-Woods, Roberta",BEIS,2
"Blackman-Woods, Roberta",DEFRA,2
"Blackman-Woods, Roberta",DfE,4
"Blackman-Woods, Roberta",DfID,7
"Blackman-Woods, Roberta",DHSC,2
"Blackman-Woods, Roberta",MHCLG,7
"Blackman-Woods, Roberta",Ministry of Defence,2
"Blackman-Woods, Roberta",Ministry of Justice,2
"Blackman-Woods, Roberta",Prime Minister,6
"Blomfield, Paul",Attorney General,2
"Blomfield, Paul",BEIS,6
"Blomfield, Paul",Cabinet Office,2
"Blomfield, Paul",DEFRA,2
"Blomfield, Paul",Department for Transport,10
"Blomfield, Paul",DeXEU,22
"Blomfield, Paul",DfE,6
"Blomfield, Paul",DfID,4
"Blomfield, Paul",DHSC,4
"Blomfield, Paul",DWP,6
"Blomfield, Paul",FCO,2
"Blomfield, Paul",Home Office,2
"Blomfield, Paul",MHCLG,4
"Blomfield, Paul",Minister for Women and Equalities,4
"Blomfield, Paul",Ministry of Defence,2
"Blomfield, Paul",Ministry of Justice,4
"Blomfield, Paul",Prime Minister,10
"Blomfield, Paul",Treasury,6
"Blomfield, Paul",Wales Office,2
"Blunt, Crispin",FCO,6
"Blunt, Crispin",MHCLG,1
"Blunt, Crispin",Ministry of Defence,2
"Blunt, Crispin",Ministry of Justice,1
"Blunt, Crispin",Prime Minister,3
"Boles, Nick",DCLG,1
"Boles, Nick",MHCLG,1
"Boles, Nick",Ministry of Justice,1
"Boles, Nick",Prime Minister,4
"Bone, Peter",Attorney General,5
"Bone, Peter",Cabinet Office,1
"Bone, Peter",Church Commissioners,1
"Bone, Peter",DCLG,1
"Bone, Peter",DDCMS,8
"Bone, Peter",DEFRA,1
"Bone, Peter",Department for Transport,6
"Bone, Peter",DeXEU,12
"Bone, Peter",DfID,4
"Bone, Peter",DIT,7
"Bone, Peter",DWP,1
"Bone, Peter",Electoral Commission,1
"Bone, Peter",FCO,1
"Bone, Peter",Home Office,5
"Bone, Peter",House of Commons Commission,1
"Bone, Peter",MHCLG,3
"Bone, Peter",Minister for Women and Equalities,5
"Bone, Peter",Ministry of Justice,2
"Bone, Peter",Prime Minister,25
"Bone, Peter",Treasury,6
"Bone, Peter",Wales Office,2
"Bottomley, Peter",Attorney General,2
"Bottomley, Peter",DCLG,1
"Bottomley, Peter",DCMS,1
"Bottomley, Peter",DfID,2
"Bottomley, Peter",DWP,2
"Bottomley, Peter",Electoral Commission,1
"Bottomley, Peter",FCO,1
"Bottomley, Peter",MHCLG,6
"Bottomley, Peter",Ministry of Justice,3
"Bottomley, Peter",Prime Minister,7
"Bottomley, Peter",Treasury,1
"Bowie, Andrew",BEIS,6
"Bowie, Andrew",Cabinet Office,1
"Bowie, Andrew",Church Commissioners,2
"Bowie, Andrew",DCMS,1
"Bowie, Andrew",DEFRA,4
"Bowie, Andrew",Department for Transport,2
"Bowie, Andrew",DeXEU,3
"Bowie, Andrew",DfE,2
"Bowie, Andrew",DfID,2
"Bowie, Andrew",DHSC,2
"Bowie, Andrew",DWP,7
"Bowie, Andrew",FCO,4
"Bowie, Andrew",Home Office,2
"Bowie, Andrew",MHCLG,2
"Bowie, Andrew",Minister for Women and Equalities,1
"Bowie, Andrew",Ministry of Defence,2
"Bowie, Andrew",Prime Minister,8
"Bowie, Andrew",Scotland Office,3
"Bowie, Andrew",Treasury,6
"Bowie, Andrew",Wales Office,2
"Brabin, Tracy",BEIS,3
"Brabin, Tracy",DCMS,2
"Brabin, Tracy",DDCMS,2
"Brabin, Tracy",DeXEU,1
"Brabin, Tracy",DfE,15
"Brabin, Tracy",DHSC,5
"Brabin, Tracy",DWP,3
"Brabin, Tracy",FCO,6
"Brabin, Tracy",Home Office,8
"Brabin, Tracy",MHCLG,4
"Brabin, Tracy",Ministry of Justice,2
"Brabin, Tracy",Prime Minister,10
"Brabin, Tracy",Treasury,3
"Bradley, Ben",BEIS,11
"Bradley, Ben",DCLG,1
"Bradley, Ben",DCMS,1
"Bradley, Ben",DDCMS,3
"Bradley, Ben",DEFRA,1
"Bradley, Ben",Department for Transport,1
"Bradley, Ben",DfE,6
"Bradley, Ben",DHSC,1
"Bradley, Ben",Home Office,3
"Bradley, Ben",MHCLG,2
"Bradley, Ben",Ministry of Justice,2
"Bradley, Ben",Prime Minister,6
"Bradley, Ben",Treasury,2
"Bradley, Karen",DfE,1
"Bradley, Karen",Wales Office,1
"Bradshaw, Ben",BEIS,1
"Bradshaw, Ben",Church Commissioners,7
"Bradshaw, Ben",DCLG,1
"Bradshaw, Ben",DEFRA,11
"Bradshaw, Ben",Department of Health,3
"Bradshaw, Ben",DfE,1
"Bradshaw, Ben",DHSC,7
"Bradshaw, Ben",DIT,1
"Bradshaw, Ben",Electoral Commission,8
"Bradshaw, Ben",FCO,2
"Bradshaw, Ben",Home Office,3
"Bradshaw, Ben",MHCLG,1
"Bradshaw, Ben",Ministry of Justice,1
"Bradshaw, Ben",Prime Minister,5
"Bradshaw, Ben",Treasury,1
"Brady, Graham",Prime Minister,2
"Brake, Tom",BEIS,4
"Brake, Tom",Cabinet Office,5
"Brake, Tom",DEFRA,2
"Brake, Tom",Department for Transport,6
"Brake, Tom",Department of Health,2
"Brake, Tom",DeXEU,17
"Brake, Tom",DfID,2
"Brake, Tom",DIT,16
"Brake, Tom",DWP,6
"Brake, Tom",Electoral Commission,1
"Brake, Tom",FCO,7
"Brake, Tom",Home Office,5
"Brake, Tom",MHCLG,3
"Brake, Tom",Minister for Women and Equalities,1
"Brake, Tom",Ministry of Defence,6
"Brake, Tom",Ministry of Justice,10
"Brake, Tom",Prime Minister,8
"Brake, Tom",Treasury,12
"Brake, Tom",Wales Office,2
"Braverman, Suella",Cabinet Office,1
"Braverman, Suella",Department of Health,2
"Braverman, Suella",DeXEU,2
"Braverman, Suella",DfE,6
"Braverman, Suella",DHSC,2
"Braverman, Suella",FCO,2
"Braverman, Suella",MHCLG,1
"Braverman, Suella",Ministry of Defence,3
"Braverman, Suella",Ministry of Justice,1
"Braverman, Suella",Prime Minister,4
"Brennan, Kevin",BEIS,8
"Brennan, Kevin",Cabinet Office,1
"Brennan, Kevin",DDCMS,11
"Brennan, Kevin",Department for Transport,1
"Brennan, Kevin",DeXEU,5
"Brennan, Kevin",DfE,1
"Brennan, Kevin",DIT,1
"Brennan, Kevin",DWP,2
"Brennan, Kevin",FCO,4
"Brennan, Kevin",Home Office,4
"Brennan, Kevin",MHCLG,2
"Brennan, Kevin",Minister for Women and Equalities,2
"Brennan, Kevin",Ministry of Defence,1
"Brennan, Kevin",Northern Ireland Office,1
"Brennan, Kevin",Prime Minister,6
"Brennan, Kevin",Treasury,3
"Brennan, Kevin",Wales Office,1
"Brereton, Jack",Attorney General,2
"Brereton, Jack",BEIS,6
"Brereton, Jack",Cabinet Office,1
"Brereton, Jack",DDCMS,2
"Brereton, Jack",Department for Transport,9
"Brereton, Jack",DHSC,6
"Brereton, Jack",DIT,4
"Brereton, Jack",DWP,2
"Brereton, Jack",FCO,2
"Brereton, Jack",MHCLG,4
"Brereton, Jack",Ministry of Defence,6
"Brereton, Jack",Northern Ireland Office,2
"Brereton, Jack",Prime Minister,9
"Brereton, Jack",Treasury,4
"Bridgen, Andrew",Attorney General,2
"Bridgen, Andrew",BEIS,6
"Bridgen, Andrew",Cabinet Office,7
"Bridgen, Andrew",DCLG,2
"Bridgen, Andrew",DDCMS,2
"Bridgen, Andrew",DEFRA,1
"Bridgen, Andrew",Department for Transport,3
"Bridgen, Andrew",Department of Health,2
"Bridgen, Andrew",DeXEU,2
"Bridgen, Andrew",DfE,14
"Bridgen, Andrew",DHSC,8
"Bridgen, Andrew",DIT,1
"Bridgen, Andrew",DWP,13
"Bridgen, Andrew",FCO,7
"Bridgen, Andrew",Home Office,9
"Bridgen, Andrew",MHCLG,7
"Bridgen, Andrew",Ministry of Defence,9
"Bridgen, Andrew",Ministry of Justice,11
"Bridgen, Andrew",Northern Ireland Office,1
"Bridgen, Andrew",Prime Minister,10
"Bridgen, Andrew",Treasury,5
"Bridgen, Andrew",Wales Office,1
"Brine, Steve",FCO,1
"Brine, Steve",Prime Minister,1
"Brock, Deidre",Attorney General,4
"Brock, Deidre",Cabinet Office,1
"Brock, Deidre",Church Commissioners,1
"Brock, Deidre",DDCMS,13
"Brock, Deidre",DEFRA,11
"Brock, Deidre",Department for Transport,4
"Brock, Deidre",DeXEU,3
"Brock, Deidre",DfE,2
"Brock, Deidre",DfID,4
"Brock, Deidre",DIT,2
"Brock, Deidre",DWP,4
"Brock, Deidre",House of Commons Commission,2
"Brock, Deidre",Minister for Women and Equalities,3
"Brock, Deidre",Ministry of Defence,2
"Brock, Deidre",Ministry of Justice,2
"Brock, Deidre",Northern Ireland Office,8
"Brock, Deidre",Prime Minister,18
"Brock, Deidre",Scotland Office,14
"Brock, Deidre",Treasury,1
"Brokenshire, James",FCO,2
"Brokenshire, James",Prime Minister,1
"Brown, Alan",Attorney General,2
"Brown, Alan",BEIS,18
"Brown, Alan",Cabinet Office,3
"Brown, Alan",DCLG,2
"Brown, Alan",DDCMS,8
"Brown, Alan",DEFRA,10
"Brown, Alan",Department for Transport,32
"Brown, Alan",DeXEU,17
"Brown, Alan",DfE,7
"Brown, Alan",DfID,8
"Brown, Alan",DHSC,4
"Brown, Alan",DIT,1
"Brown, Alan",DWP,5
"Brown, Alan",Electoral Commission,8
"Brown, Alan",FCO,12
"Brown, Alan",Home Office,6
"Brown, Alan",House of Commons Commission,3
"Brown, Alan",MHCLG,5
"Brown, Alan",Minister for Women and Equalities,6
"Brown, Alan",Ministry of Defence,6
"Brown, Alan",Ministry of Justice,2
"Brown, Alan",Northern Ireland Office,9
"Brown, Alan",Prime Minister,14
"Brown, Alan",Scotland Office,19
"Brown, Alan",Treasury,7
"Brown, Alan",Wales Office,7
"Brown, Lyn",Attorney General,2
"Brown, Lyn",DfID,2
"Brown, Lyn",DHSC,2
"Brown, Lyn",MHCLG,2
"Brown, Lyn",Ministry of Defence,4
"Brown, Lyn",Prime Minister,3
"Brown, Lyn",Treasury,4
"Bruce, Fiona",Attorney General,2
"Bruce, Fiona",BEIS,2
"Bruce, Fiona",Cabinet Office,4
"Bruce, Fiona",Church Commissioners,11
"Bruce, Fiona",DCMS,1
"Bruce, Fiona",DEFRA,3
"Bruce, Fiona",Department for Transport,7
"Bruce, Fiona",Department of Health,2
"Bruce, Fiona",DeXEU,2
"Bruce, Fiona",DfE,7
"Bruce, Fiona",DfID,4
"Bruce, Fiona",DHSC,2
"Bruce, Fiona",DIT,2
"Bruce, Fiona",DWP,1
"Bruce, Fiona",FCO,8
"Bruce, Fiona",Home Office,8
"Bruce, Fiona",MHCLG,5
"Bruce, Fiona",Minister for Women and Equalities,2
"Bruce, Fiona",Ministry of Justice,9
"Bruce, Fiona",Northern Ireland Office,2
"Bruce, Fiona",Prime Minister,8
"Bruce, Fiona",Treasury,5
"Bruce, Fiona",Wales Office,1
"Bryant, Chris",Attorney General,4
"Bryant, Chris",BEIS,1
"Bryant, Chris",Cabinet Office,1
"Bryant, Chris",DDCMS,1
"Bryant, Chris",DEFRA,1
"Bryant, Chris",Department for Transport,5
"Bryant, Chris",DeXEU,5
"Bryant, Chris",DfE,2
"Bryant, Chris",DHSC,2
"Bryant, Chris",DIT,3
"Bryant, Chris",DWP,4
"Bryant, Chris",FCO,10
"Bryant, Chris",Home Office,2
"Bryant, Chris",House of Commons Commission,2
"Bryant, Chris",Minister for Women and Equalities,4
"Bryant, Chris",Ministry of Defence,7
"Bryant, Chris",Ministry of Justice,4
"Bryant, Chris",Prime Minister,8
"Bryant, Chris",Treasury,3
"Bryant, Chris",Wales Office,6
"Buck, Karen",DCLG,1
"Buck, Karen",DfE,4
"Buck, Karen",DHSC,1
"Buck, Karen",DWP,6
"Buck, Karen",Home Office,2
"Buck, Karen",MHCLG,3
"Buck, Karen",Ministry of Justice,4
"Buck, Karen",Prime Minister,14
"Buck, Karen",Wales Office,2
"Burden, Richard",BEIS,3
"Burden, Richard",Department for Transport,4
"Burden, Richard",Department of Health,2
"Burden, Richard",DeXEU,2
"Burden, Richard",DfID,7
"Burden, Richard",FCO,8
"Burden, Richard",Home Office,1
"Burden, Richard",Ministry of Justice,2
"Burden, Richard",Prime Minister,2
"Burghart, Alex",Attorney General,1
"Burghart, Alex",BEIS,2
"Burghart, Alex",Cabinet Office,6
"Burghart, Alex",Church Commissioners,6
"Burghart, Alex",DCLG,1
"Burghart, Alex",DDCMS,6
"Burghart, Alex",DEFRA,8
"Burghart, Alex",Department for Transport,6
"Burghart, Alex",DeXEU,4
"Burghart, Alex",DfE,12
"Burghart, Alex",DfID,2
"Burghart, Alex",DHSC,2
"Burghart, Alex",DIT,2
"Burghart, Alex",DWP,12
"Burghart, Alex",Home Office,7
"Burghart, Alex",MHCLG,5
"Burghart, Alex",Minister for Women and Equalities,3
"Burghart, Alex",Ministry of Defence,4
"Burghart, Alex",Ministry of Justice,7
"Burghart, Alex",Prime Minister,7
"Burghart, Alex",Treasury,6
"Burgon, Richard",Ministry of Justice,53
"Burt, Alistair",DfID,2
"Burt, Alistair",FCO,3
"Burt, Alistair",Prime Minister,3
"Butler, Dawn",Minister for Women and Equalities,21
"Byrne, Liam",BEIS,2
"Byrne, Liam",DDCMS,12
"Byrne, Liam",DHSC,2
"Byrne, Liam",DWP,3
"Byrne, Liam",FCO,2
"Byrne, Liam",Home Office,2
"Byrne, Liam",MHCLG,2
"Byrne, Liam",Prime Minister,1
"Cable, Vincent",BEIS,4
"Cable, Vincent",DDCMS,4
"Cable, Vincent",Department for Transport,1
"Cable, Vincent",Department of Health,2
"Cable, Vincent",DeXEU,3
"Cable, Vincent",DfE,6
"Cable, Vincent",DHSC,6
"Cable, Vincent",DIT,2
"Cable, Vincent",DWP,3
"Cable, Vincent",FCO,5
"Cable, Vincent",Home Office,8
"Cable, Vincent",MHCLG,5
"Cable, Vincent",Ministry of Justice,3
"Cable, Vincent",Prime Minister,21
"Cable, Vincent",Treasury,10
"Cable, Vincent",Wales Office,1
"Cadbury, Ruth",BEIS,2
"Cadbury, Ruth",Cabinet Office,3
"Cadbury, Ruth",DCLG,2
"Cadbury, Ruth",DEFRA,6
"Cadbury, Ruth",Department for Transport,13
"Cadbury, Ruth",DeXEU,2
"Cadbury, Ruth",DfE,7
"Cadbury, Ruth",DfID,2
"Cadbury, Ruth",DHSC,1
